threshold,precision,recall,f1
0.17,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.17500000000000002,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.18000000000000002,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.18500000000000003,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.19,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.195,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.2,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.20500000000000002,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.21000000000000002,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.21500000000000002,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.22,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.225,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.23,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.23500000000000001,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.24000000000000002,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.24500000000000002,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.25,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.255,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.26,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.265,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.27,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.275,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.28,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.28500000000000003,0.5437710437710438,0.7177777777777777,0.6187739463601533
0.29000000000000004,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.29500000000000004,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.3,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.305,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.31,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.315,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.32,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.325,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.33,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.335,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.34,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.34500000000000003,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.35000000000000003,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.35500000000000004,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.36000000000000004,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.365,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.37,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.375,0.6965699208443272,0.5866666666666667,0.6369119420989143
0.38,0.7892976588628763,0.5244444444444445,0.630173564753004
0.385,0.7892976588628763,0.5244444444444445,0.630173564753004
0.39,0.7892976588628763,0.5244444444444445,0.630173564753004
0.395,0.7892976588628763,0.5244444444444445,0.630173564753004
0.4,0.7892976588628763,0.5244444444444445,0.630173564753004
0.405,0.7892976588628763,0.5244444444444445,0.630173564753004
0.41000000000000003,0.7892976588628763,0.5244444444444445,0.630173564753004
0.41500000000000004,0.7892976588628763,0.5244444444444445,0.630173564753004
0.42000000000000004,0.7892976588628763,0.5244444444444445,0.630173564753004
0.42500000000000004,0.7892976588628763,0.5244444444444445,0.630173564753004
0.43,0.7892976588628763,0.5244444444444445,0.630173564753004
0.435,0.7892976588628763,0.5244444444444445,0.630173564753004
0.44,0.7892976588628763,0.5244444444444445,0.630173564753004
0.445,0.7892976588628763,0.5244444444444445,0.630173564753004
0.45,0.7892976588628763,0.5244444444444445,0.630173564753004
0.455,0.7892976588628763,0.5244444444444445,0.630173564753004
0.46,0.7892976588628763,0.5244444444444445,0.630173564753004
0.465,0.7892976588628763,0.5244444444444445,0.630173564753004
0.47000000000000003,0.7892976588628763,0.5244444444444445,0.630173564753004
0.47500000000000003,0.7892976588628763,0.5244444444444445,0.630173564753004
0.48000000000000004,0.8136200716845878,0.5044444444444445,0.6227709190672154
0.48500000000000004,0.8136200716845878,0.5044444444444445,0.6227709190672154
0.49,0.8136200716845878,0.5044444444444445,0.6227709190672154
0.495,0.8697478991596639,0.46,0.6017441860465116
0.5,0.8697478991596639,0.46,0.6017441860465116
0.505,0.8697478991596639,0.46,0.6017441860465116
0.51,0.8697478991596639,0.46,0.6017441860465116
0.515,0.8697478991596639,0.46,0.6017441860465116
0.52,0.8697478991596639,0.46,0.6017441860465116
0.525,0.8697478991596639,0.46,0.6017441860465116
0.53,0.8697478991596639,0.46,0.6017441860465116
0.535,0.8697478991596639,0.46,0.6017441860465116
0.54,0.8697478991596639,0.46,0.6017441860465116
0.545,0.8697478991596639,0.46,0.6017441860465116
0.55,0.8697478991596639,0.46,0.6017441860465116
0.555,0.8697478991596639,0.46,0.6017441860465116
0.56,0.8697478991596639,0.46,0.6017441860465116
0.5650000000000001,0.8697478991596639,0.46,0.6017441860465116
0.5700000000000001,0.8697478991596639,0.46,0.6017441860465116
0.5750000000000001,0.8697478991596639,0.46,0.6017441860465116
0.5800000000000001,0.8697478991596639,0.46,0.6017441860465116
0.5850000000000001,0.8697478991596639,0.46,0.6017441860465116
0.59,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.595,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.6,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.605,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.61,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.615,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.62,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.625,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.63,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.635,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.64,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.645,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.65,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.655,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.66,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.665,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.67,0.9009433962264151,0.42444444444444446,0.5770392749244713
0.675,0.9009433962264151,0.42444444444444446,0.5770392749244713
